camera,location,village,northing,easting,elevation,start,end,n_days,in_operation,year,latitude,longitude
SLC 118,Sachilim,Skoyo,35 34 735,75 17 475,2255,12/25/20,3/7/21,72,100,2020-2021,35.7708333333333,75.4152777777778
SLC 205,Chodress,Skoyo,35 34 178,75 17 406,2223,12/25/20,3/7/21,72,100,2020-2021,35.6161111111111,75.3961111111111
SLC140,Rabsa,Skoyo,35 34 315,75 17 343,2034,12/25/20,3/7/21,72,100,2020-2021,35.6541666666667,75.3786111111111
SLC 123,Kharistrang,Skoyo,35 34 742,75 17 365,2065,12/25/20,3/7/21,72,100,2020-2021,35.7727777777778,75.3847222222222
TWLF 23,Barlami Taraq,Krabathang,35 32 783,75 20 533,2061,12/26/20,1/28/21,33,NA,2020-2021,35.7508333333333,75.4813888888889
SLC125,"Chotok Tham,ba",Krabathang,35 32 972,75 20 557,2436,12/26/20,1/28/21,33,32,2020-2021,35.8033333333333,75.4880555555556
TWLF 21,Barlami Thamba,Krabathang,35 32 952,75 20 474,2064,12/26/20,1/28/21,33,32,2020-2021,35.7977777777778,75.465
SLC124,Barbenchen core,Krabathang,35 33 167,75 20 920,2826,12/26/20,1/28/21,33,32,2020-2021,35.5963888888889,75.5888888888889
SLC206,Doaqbe longma,Krabathang,35 33 235,75 19 931,2240,12/26/20,1/28/21,33,32,2020-2021,35.6152777777778,75.5752777777778
SLC 121,Khlangfafpa,Krabathang,35 33 385,75 20 345,2320,12/26/20,1/28/21,33,32,2020-2021,35.6569444444444,75.4291666666667
SLC120,Murdalchan,Krabathang,35 31 578,75 20 420,2232,12/24/20,12/25/20,1,1,2020-2021,35.6772222222222,75.45
SLC199,Barbenchan,Krabathang,35 33 289,75 20 531,2196,12/26/20,1/28/21,33,32,2020-2021,35.6302777777778,75.4808333333333
SLC 117,Kharalong,Mendi,35 34 851,75 14 280,2402,12/24/20,3/7/21,73,71,2020-2021,35.8030555555556,75.3111111111111
SLC204,Khisowaso,Mendi,35 35 146,75 13 928,2232,12/24/20,3/7/21,73,71,2020-2021,35.6238888888889,75.4744444444444
SLC109,Qoma Longma,Mendi,35 34 610,75 13 655,2609,12/24/20,3/7/21,73,71,2020-2021,35.7361111111111,75.3986111111111
SLC207,Marpho fong,Hushe,35 29 544,76 20 897,3269,12/16/20,3/6/21,80,78,2020-2021,35.6344444444444,76.5825
SLC 139,Humbroq Bahoha,Hushe,35 27 435,76 20 534,3218,1/7/21,3/8/21,60,59,2020-2021,35.5708333333333,76.4816666666667
SLC 207,Konggo Area,Hushe,35 27 483,76 21 394,3256,1/9/21,3/6/21,56,55,2020-2021,35.5841666666667,76.4594444444444
SLC 201,Bahoha,Hushe,35 27 463,76 20 516,3182,1/7/21,3/6/21,58,57,2020-2021,35.5786111111111,76.4766666666667
SLC 138,Baeishool Nallah,Hushe,35 27 561,76 21 398,3291,1/9/21,3/8/21,58,57,2020-2021,35.6058333333333,76.4605555555556
SLC 119,Wasoq Area,Hushe,35 28 381,76 21 117,3280,1/6/21,2/1/21,26,25,2020-2021,35.5725,76.3825
SLC 110,Sooqsa,Hushe,35 28 194,76 21 082,3209,1/6/21,3/7/21,60,59,2020-2021,35.5205555555556,76.3727777777778
SLC 122,Wasoq Longma,Hushe,35 28 289,76 21 122,3222,1/6/21,2/3/21,28,27,2020-2021,35.5469444444444,76.3838888888889
SLC 120,Polostrang,Khumerah,35 36 175,75 21 140,2832,3/15/21,4/30/21,46,45,2020-2021,35.6486111111111,75.3888888888889
SLC 126,Shul,Khumerah,35 36 253,75 21 266,2768,3/15/21,4/30/21,46,45,2020-2021,35.6702777777778,75.4238888888889
SLC 122,Bendaq Strang,Khumerah,35 36 980,75 21 433,2955,3/16/21,6/26/21,102,100,2020-2021,35.8722222222222,75.4702777777778
SLC 201,Gongser,Khumerah,NA,NA,NA,3/19/21,NA,NA,NA,2020-2021,NA,NA
SLC 110,Godiaq Strang,Basho Sultanbad,35 26 829,75 19 687,3178,11/9/19,4/24/20,167,133,2019-2020,35.6636111111111,75.5075
SLC 138,Sari longma,Basho Sultanbad,35 27 689,75 17 19.124,3705,11/10/19,11/5/20,361,179,2019-2020,35.6413888888889,75.2886455555556
SLC 207,Doaqbe longma,Krabathang,35 33 473,75 19 996,2436,12/18/19,3/19/20,92,92,2019-2020,35.6813888888889,75.5933333333333
SLC 120,Khlangfafpa,Krabathang,35 33 375,75 20 340,2333,12/18/19,3/19/20,92,92,2019-2020,35.6541666666667,75.4277777777778
SLC 119,Charchik Thang,Krabathang,35 33 386,75 20 900,2432,12/18/19,3/19/20,92,92,2019-2020,35.6572222222222,75.5833333333333
SLC 121,Balami Taraq,Krabathang,35 32 780,75 20 542,2096,12/18/19,3/19/20,92,92,2019-2020,35.75,75.4838888888889
SLC 124,Usay Muni Baho,Krabathang,35 33 186,75 20 570,2139,12/18/19,3/19/20,92,92,2019-2020,35.6016666666667,75.4916666666667
SLC 205,Chotoq Katpa,Krabathang,35 32 950,75 20 525,2172,12/18/19,3/19/20,92,92,2019-2020,35.7972222222222,75.4791666666667
SLC 123,Grongchan Longma,Krabathang,35 33 989,75 20 145,2055,12/18/19,3/19/20,92,92,2019-2020,35.8247222222222,75.3736111111111
TWLF-21,Naqpo Longma,Krabathang,35 33 130,75 20 023,2623,3/20/20,5/7/20,48,47,2019-2020,35.5861111111111,75.3397222222222
TWLF-22,Khalnfafpa,Krabathang,35 33 377,75 20 365,2361,3/20/20,5/7/20,48,47,2019-2020,35.6547222222222,75.4347222222222
TWLF-24,Gromsa Rhkongo,krabathang,35 33 521,75 19 935,2366,3/20/20,5/7/20,48,47,2019-2020,35.6947222222222,75.5763888888889
SLC 117,Autoser Basho,Hushe,35 31 754,76 24 143,3631,11/14/19,NA,NA,NA,2019-2020,35.7261111111111,76.4397222222222
SLC 109,Cheree nallah,Hushe,NA,NA,NA,NA,NA,0,NA,2019-2020,NA,NA
SLC 109,Bahokha 1,Hushe,NA,NA,NA,NA,NA,0,NA,2019-2020,NA,NA
SLC 109,Bahokha 2,Hushe,NA,NA,NA,NA,NA,0,NA,2019-2020,NA,NA
SLC 109,Ghorsit,Hushe,35 30 653,76 25 530,3586,11/14/19,1/6/20,53,53,2019-2020,35.6813888888889,76.5638888888889
SLC 200,Baishool 1,Hushe,35 47 664,76 35 351,3217,12/24/19,12/28/19,4,4,2019-2020,35.9677777777778,76.6808333333333
SLC 200,Baishool 2,Hushe,35 47 664,76 35 351,3217,12/28/19,1/1/20,4,4,2019-2020,35.9677777777778,76.6808333333333
SLC 200,Baishool 3,Hushe,35 47 664,76 35 351,3217,1/1/20,1/18/20,17,18,2019-2020,35.9677777777778,76.6808333333333
SLC 200,Baishool 4,Hushe,35 47 664,76 35 351,3217,1/18/20,2/20/20,33,32,2019-2020,35.9677777777778,76.6808333333333
SLC 201,Wasoq,Hushe,35 47 464,76 35 351,3217,11/28/19,1/29/20,62,62,2019-2020,35.9122222222222,76.6808333333333
SLC 206,Thangbar,Hushe,35 47 905,76 35 976,3227,11/21/19,1/29/20,69,56,2019-2020,36.0347222222222,76.8544444444444
SLC 117,Humbroq 1,Hushe,35 47 905,76 35 976,3227,12/25/19,1/30/20,36,36,2019-2020,36.0347222222222,76.8544444444444
SLC 117,Humbroq2,Hushe,35 47 905,76 35 976,3227,1/30/20,2/20/20,21,50,2019-2020,36.0347222222222,76.8544444444444
SLC 117,Humbroq 3,Hushe,35 47 905,76 35 976,3227,2/21/20,3/4/20,12,12,2019-2020,36.0347222222222,76.8544444444444
SLC 140,Hushe A,Hushe,NA,NA,NA,2/1/20,2/20/20,19,20,2019-2020,NA,NA
SLC 140,Hushe B,Hushe,NA,NA,NA,2/20/20,3/5/20,14,14,2019-2020,NA,NA
SLC 140,Khrongo1,Hushe,35 27 844,076 21 646,NA,11/30/19,12/24/19,24,24,2019-2020,35.6844444444444,76.5294444444445
SLC 140,Khrongo2,Hushe,35 27 844,076 21 646,NA,12/24/19,12/28/19,4,4,2019-2020,35.6844444444444,76.5294444444445
SLC 140,Khrongo3,Hushe,35 27 844,076 21 646,NA,12/28/19,1/2/20,5,5,2019-2020,35.6844444444444,76.5294444444445
SLC 140,Khrongo4,Hushe,35 27 844,076 21 646,NA,1/9/20,2/1/20,23,23,2019-2020,35.6844444444444,76.5294444444445
SLC 207,Sachilim,Skoyo,35 34 738,075 17 476,2258,12/8/18,1/26/19,49,46,2018-2019,35.7716666666667,75.4155555555556
SLC 205,Karhri Strang,Skoyo,35 34 740,075 17 371,2055,1/9/19,3/2/19,52,37,2018-2019,35.7722222222222,75.3863888888889
SLC 117,Rabsa,Skoyo,35 34 315,075 17 343,2034,12/8/18,3/2/19,84,82,2018-2019,35.6541666666667,75.3786111111111
SLC 206,Chik kas,Skoyo,35 34 789,075 17 777,2336,12/8/18,2/8/19,62,60,2018-2019,35.7858333333333,75.4991666666667
SLC 140,Chodres,Skoyo,35 34 145,075 17 370,2038,12/8/18,3/9/19,91,91,2018-2019,35.6069444444444,75.3861111111111
SLC 118,Sinalcho strankha,Skoyo,35 34 616,075 15 642,2372,12/26/18,3/9/19,73,70,2018-2019,35.7377777777778,75.4283333333333
SLC 110,Krabathang,Krabathang,NA,NA,NA,1/7/19,4/10/19,93,93,2018-2019,NA,NA
SLC 117,Skoyo,Skoyo,35 34 280,075 17 327,2263,3/24/19,5/12/19,49,48,2018-2019,35.6444444444444,75.3741666666667
SLC 140,Skoyo,Skoyo,35 34 073,075 17 343,2252,3/24/19,4/18/19,25,24,2018-2019,35.5869444444444,75.3786111111111
SLC 205,Skoyo,Skoyo,35 34 783,075 17 775,2337,3/24/19,5/1/19,38,37,2018-2019,35.7841666666667,75.4986111111111
SLC 206,Skoyo,Skoyo,35 34 442,075 17 371,2053,3/24/19,5/2/19,39,38,2018-2019,35.6894444444444,75.3863888888889
SLC 207,Skoyo,Skoyo,35 34 732,075 17 475,2253,3/24/19,5/12/19,49,48,2018-2019,35.77,75.4152777777778
SLC 137,Dogro,Dogro Basha,35 45 451,075 24 348,3217,11/26/18,4/11/19,136,155,2018-2019,35.8752777777778,75.4966666666667
SLC 201,Dogro,Dogro Basha,35 45 489,075 24 658,2872,11/26/18,4/26/19,151,152,2018-2019,35.8858333333333,75.5827777777778
SLC202,Dogro,Dogro Basha,35 45 624,075 24 776,3244,11/26/18,3/3/19,97,97,2018-2019,35.9233333333333,75.6155555555556
SLC 208,Dogro,Dogro Basha,35 45 818,075 25 039,3621,11/26/18,4/28/19,153,154,2018-2019,35.9772222222222,75.4275
SLC 139,Doko,Doko Basha,35 47 965,075 22 575,2818,11/25/18,4/23/19,149,149,2018-2019,36.0513888888889,75.5263888888889
SLC 121,Doko,Doko Basha,35 57 965,075 22 575,2818,11/25/18,4/23/19,149,150,2018-2019,36.2180555555556,75.5263888888889
SLC 120,Saisko,Saisko Basha,35 49 483,075 26 127,3140,11/24/18,5/6/19,163,166,2018-2019,35.9508333333333,75.4686111111111
SLC 200,Saisko,Saisko Basha,35 49 489,075 26 114,3170,11/24/18,3/27/19,123,123,2018-2019,35.9525,75.465
SLC 109,Silkosho top,Hussainabad,35 16 109,075 44 026,3988,6/15/19,8/1/19,47,47,2018-2019,35.2969444444444,75.7405555555556
SLC 110,Spangser,Hussainabad,35 15 762,075 43 709,3682,6/15/19,8/1/19,47,47,2018-2019,35.4616666666667,75.9136111111111
SLC 117,Tirpi Strobais,Hussainabad,35 16 202,075 41 555,3280,6/15/19,7/23/19,38,38,2018-2019,35.3227777777778,75.8375
